,UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName,artist,title,lyric,negative,neutral,positive,compound
122,markettes99,Lukas Graham,2016-04-01,Lukas Graham,False,Mama Said,OldSchool,,,,,,,
123,markettes99,Lukas Graham,2016-04-01,Lukas Graham,False,7 Years,OldSchool,,,,,,,
124,markettes99,Doo-Wops & Hooligans,2010-10-05,Bruno Mars,False,Just the Way You Are,OldSchool,,,,,,,
125,markettes99,Mylo Xyloto,2011-10-24,Coldplay,False,Paradise,OldSchool,,,,,,,
126,markettes99,Doo-Wops & Hooligans,2010-10-05,Bruno Mars,False,The Lazy Song,OldSchool,,,,,,,
127,markettes99,The Heist,2012-10-10,Macklemore & Ryan Lewis,True,Thrift Shop (feat. Wanz),OldSchool,,,,,,,
128,markettes99,All The Little Lights,2012-11-05,Passenger,False,Let Her Go,OldSchool,,,,,,,
129,markettes99,Love In The Future (Expanded Edition),2013-08-30,John Legend,False,All of Me,OldSchool,,,,,,,
130,markettes99,True,2013-09-13,Avicii,False,Wake Me Up,OldSchool,,,,,,,
131,markettes99,Native,2013-01-01,OneRepublic,False,Counting Stars,OldSchool,,,,,,,
132,markettes99,x (Deluxe Edition),2014-06-21,Ed Sheeran,False,Thinking out Loud,OldSchool,,,,,,,
133,markettes99,Faded,2015-12-04,Alan Walker,False,Faded,OldSchool,,,,,,,
134,markettes99,See You Again (feat. Charlie Puth),2015,Wiz Khalifa,False,See You Again (feat. Charlie Puth),OldSchool,,,,,,,
135,markettes99,Closer,2016-07-29,The Chainsmokers,False,Closer,OldSchool,,,,,,,
136,markettes99,Memories...Do Not Open,2017-04-07,The Chainsmokers,False,Something Just Like This,OldSchool,,,,,,,
137,markettes99,÷ (Deluxe),2017-03-03,Ed Sheeran,False,Perfect,OldSchool,,,,,,,
138,markettes99,Girls Like You (feat. Cardi B),2018-05-30,Maroon 5,True,Girls Like You (feat. Cardi B) - Cardi B Version,OldSchool,,,,,,,
139,markettes99,Despicable Me 2 (Original Motion Picture Soundtrack),2013-06-18,Pharrell Williams,False,Happy,OldSchool,,,,,,,
140,markettes99,Happy Now,2018-10-26,Kygo,False,Happy Now,OldSchool,,,,,,,
141,markettes99,Let It Go,2018-12-12,Kalom,False,Let It Go,OldSchool,,,,,,,
142,markettes99,Lead Me Back,2019-02-22,San Holo,False,Lead Me Back,OldSchool,,,,,,,
143,markettes99,Lines of the Broken,2017-05-16,DROELOE,False,Lines of the Broken,OldSchool,,,,,,,
144,markettes99,Light,2017-02-10,San Holo,False,Light,OldSchool,,,,,,,
145,markettes99,Pray for the Wicked,2018-06-22,Panic! At The Disco,False,High Hopes,OldSchool,,,,,,,
146,markettes99,Next To Me,2015-05-08,Otto Knows,False,Next to Me,OldSchool,,,,,,,
147,markettes99,In The End,2019-03-22,Tommee Profitt,False,In The End - Mellen Gi Remix,OldSchool,,,,,,,
148,markettes99,Wow.,2018-12-24,Post Malone,True,Wow.,OldSchool,,,,,,,
149,markettes99,Speechless (feat. Erika Sirola),2018-11-16,Robin Schulz,False,Speechless (feat. Erika Sirola),OldSchool,,,,,,,
150,markettes99,Want Love,2019-02-22,JLV,False,Want Love,OldSchool,,,,,,,
151,markettes99,SOS,2019-04-10,Avicii,False,SOS,OldSchool,,,,,,,
152,markettes99,Almost Home,2013-05-28,Kid Ink,True,Money and the Power,OldSchool,,,,,,,
153,markettes99,Forever Young,2018-07-27,John De Sohn,False,Forever Young,OldSchool,,,,,,,
154,markettes99,Old Town Road,2019-04-05,Lil Nas X,False,Old Town Road (feat. Billy Ray Cyrus) - Remix,OldSchool,,,,,,,
