UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongId,SongName,PlaylistName
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,2gaZJDgE71VL9PzzUUlpMg,Dragonborn,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,0DrhapFEF5d9Yzg4v914dp,Awake,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,0zke8Vmo0bgbPjxL3pUhqk,From Past to Present,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,5XcivSLcE4sR5s9ItTxROd,Unbroken Road,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,2gEAHKw83WHPD875YqDHH2,Ancient Stones,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,1l7bKxkdTymsFbxWzsK3vw,The City Gates,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,1VwrnHBdrWJZOwWv99XjHh,Silent Footsteps,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,3A6B7EgDzGsBakF8u6Jvlw,Dragonsreach,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,4rJSq9z60yScNTlJ4Lvpei,Tooth and Claw,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,2ykpGxtio3h7TN2pe31YFi,Under an Ancient Sun,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,2MsJZoon1bDM3KC9RaoZxu,Death or Sovngarde,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,5qjqvjJQ15sH6dIgXUzg5I,Masser,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,3wnSHCMTtD1fxwOzTc5Gdh,Distant Horizons,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,63zmiYZRPVSRLoYXbqfLPv,Dawn,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,45Oh87YCFHuXgw95CFc9du,The Jerall Mountains,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,5p5Q14joitJC1nMxWlBkGm,Steel on Steel,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,5fHgBb5r91Jmdr8Q7dwmad,Secunda,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,4N8henbzdhXRgTJY1zbWHP,Imperial Throne,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,1BRtrNXFD8RrlsHfo61PS7,Frostfall,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,5og1HzVWctdhPEGBa53sgf,Night Without Stars,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,0SFWcamLEyYV9EtYz91oHG,Into Darkness,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,6O9hBwcZKrzCVVhEeoieko,Kyne's Peace,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,5ZiXhaYx9gkuYJs38r9MDu,Unbound,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,2rtFUTZLSQ7cECBXfUOgJe,Far Horizons,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,26mWof6V1cuAmp8KSbTEIo,A Winter's Tale,Skyrim
garciavicval,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,Jeremy Soule,False,6BG6rbPZp6lEXy7KN2mCDg,The Bannered Mare,Skyrim
